family,promotion_bin,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
SEAFOOD,6-10,29,67,0.22849370752471795,0.24320976679237413,-0.014716059267656179,-0.006941616284809667,0.0,0.00029677885722177087,0.0010171156004489337,0.0011749438832772167,False,0.0,64.17444813793104,65.54413760533143,1.3696894674003965,6.413793103448276
HOME CARE,2-5,219,127,0.274271255334918,0.29028569557873984,-0.01601444024382187,-0.009041063554641043,0.0,0.003229171974068354,0.007680976430976431,0.0022271324354657686,False,0.0,180.8675799086758,212.41309922116585,31.545519312490054,4.228310502283105
HOME AND KITCHEN I,1,288,239,0.5062210061675105,0.5244275240442061,-0.018206517876695583,-0.01876452088988967,0.0,0.014466360529122617,0.010101010101010102,0.0041912177328843996,False,0.0,34.43402777777778,27.993602491669428,-6.44042528610835,1.0
FROZEN FOODS,6-10,9,15,0.2977742820034279,0.31618919924117533,-0.018414917237747408,-0.011306086694118644,0.0,0.0001564239876243481,0.0003156565656565657,0.00026304713804713804,False,0.0,87.88888888888889,82.40201487231157,-5.486874016577318,9.444444444444445
HOME CARE,11-50,18,1069,0.14354435397053394,0.16812159560093787,-0.024577241630403923,-0.0076598893505873435,0.0,7.269946358502536e-05,0.0006313131313131314,0.018746492704826038,False,0.0,521.1111111111111,535.3168481123822,14.205737001271093,11.11111111111111
BREAD/BAKERY,0,82,488,0.10876496966387231,0.13724118820818107,-0.028476218544308762,-0.007005325114810314,0.0,0.00019014215409711132,0.0028759820426487092,0.00855780022446689,False,0.0,724.7450607317073,725.7010981466627,0.9560374149554216,0.0
HOME AND KITCHEN I,6-10,4,418,0.3374875135641856,0.36922233862151865,-0.03173482505733305,-0.022427313525407028,0.0,8.930214306976845e-05,0.00014029180695847364,0.0073302469135802465,False,0.0,92.25,86.87592296094076,-5.374077039059252,6.0
"LIQUOR,WINE,BEER",1,144,310,0.543826845597155,0.5788336640996368,-0.035006818502481774,-0.0393007727028592,0.0,0.008347765642703382,0.005050505050505051,0.005436307519640853,False,0.0,32.13194444444444,34.98054969364874,2.8486052492042977,1.0
PREPARED FOODS,2-5,18,47,0.21129597123669072,0.24996560054949546,-0.03866962931280474,-0.017836813997213485,0.0,0.00015752206963534285,0.0006313131313131314,0.0008242143658810326,False,0.0,99.3578888888889,92.9313735647262,-6.426515324162687,2.3333333333333335
MEATS,11-50,91,227,0.2047291969332729,0.24616530348065935,-0.04143610654738644,-0.018683312560782282,0.0,0.0007476312211550774,0.0031916386083052748,0.003980780022446689,False,0.0,450.81214358241755,444.6512759459049,-6.160867636512692,28.857142857142858
AUTOMOTIVE,1,9,48,0.4057342094930706,0.4477370707857281,-0.04200286129265751,-0.035848235802817235,0.0,0.00029041044629360825,0.0003156565656565657,0.0008417508417508417,False,0.0,9.11111111111111,8.061577217573651,-1.0495338935374596,1.0
FROZEN FOODS,2-5,119,142,0.22571257609753548,0.2697922732878223,-0.044079697190286815,-0.021841703717225255,0.0,0.0011883515788534604,0.00417368125701459,0.002490179573512907,False,0.0,182.9399831092437,186.05978164518015,3.119798535936447,2.033613445378151
EGGS,0,381,745,0.16558213382784903,0.215956169506488,-0.05037403567863896,-0.01921962410493126,0.0,0.002047568297730994,0.013362794612794613,0.013064674523007856,False,0.0,214.88713910761155,220.99399775440256,6.106858646790995,0.0
EGGS,2-5,30,402,0.3551304762158023,0.40628664837831263,-0.05115617216251034,-0.038951185513220105,0.0,0.0007416237227065441,0.0010521885521885522,0.0070496632996633,False,0.0,184.96666666666667,170.46665582678423,-14.500010839882423,2.1666666666666665
