family,store_nbr,city,state,store_type,cluster,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
GROCERY II,23,Ambato,Tungurahua,D,9,16,32,0.475777109387449,0.42764373660398364,0.048133372783465356,0.043484692360459265,2.4402184265128656e-05,0.0007099267499608078,0.0005611672278338945,0.0005611672278338945,False,0.0,24.6875,22.88572163289022,-1.801778367109781,0.0625
FROZEN FOODS,10,Quito,Pichincha,C,15,16,32,0.3571228427819924,0.2900192439314198,0.0671035988505726,0.04342556298613927,2.436900279805795e-05,0.000399983166204583,0.0005611672278338945,0.0005611672278338945,False,0.0,38.25,30.891751287247736,-7.358248712752265,2.125
LADIESWEAR,46,Quito,Pichincha,A,14,16,32,0.3847809581877367,0.32359709270934345,0.06118386547839327,0.043341307373933394,2.4321721309726934e-05,0.0004643373274519227,0.0005611672278338945,0.0005611672278338945,False,0.0,29.0625,37.89357297293086,8.831072972930864,5.0
PREPARED FOODS,9,Quito,Pichincha,B,6,16,32,0.3174046326959754,0.23965148324219082,0.07775314945378459,0.043312867436685006,2.4305761748981484e-05,0.0003159606337847273,0.0005611672278338945,0.0005611672278338945,False,0.0,112.7841866875,107.50543470253687,-5.27875198496312,1.0
HARDWARE,7,Quito,Pichincha,D,8,16,32,0.5807010794153696,0.5424314538692991,0.038269625546070496,0.04298186148741373,2.4120012058032398e-05,0.0010575763258716974,0.0005611672278338945,0.0005611672278338945,False,0.0625,3.25,2.182084604009859,-1.067915395990141,0.0
DELI,38,Loja,Loja,D,4,16,32,0.28133817284754425,0.19096489933202948,0.09037327351551477,0.042683574724302537,2.395262330207774e-05,0.0002482354367062198,0.0005611672278338945,0.0005611672278338945,False,0.0,140.5061875,172.70698435068962,32.20079685068963,10.8125
"LIQUOR,WINE,BEER",51,Guayaquil,Guayas,A,17,16,32,0.330049814785343,0.25753465288588656,0.07251516189945645,0.04260878280278514,2.3910652526815455e-05,0.00034163742559570814,0.0005611672278338945,0.0005611672278338945,False,0.0,160.25,149.2045456803506,-11.045454319649401,4.0
CLEANING,13,Latacunga,Cotopaxi,C,15,16,32,0.38549444611345157,0.3256218437183194,0.059872602395132146,0.04257638287779919,2.3892470750729062e-05,0.00046606093787789814,0.0005611672278338945,0.0005611672278338945,False,0.0,942.1875,860.6802641293056,-81.50723587069446,17.625
HOME CARE,51,Guayaquil,Guayas,A,17,16,32,0.28210224760410685,0.19300050044770434,0.08910174715640251,0.042332484930224484,2.375560321561419e-05,0.0002495856124609347,0.0005611672278338945,0.0005611672278338945,False,0.0,312.75,394.93832023517365,82.18832023517365,7.5
DELI,53,Manta,Manabi,D,13,16,32,0.2507546587438429,0.14344953148236864,0.10730512726147426,0.04230013079923003,2.3737447137615054e-05,0.00019719889397516393,0.0005611672278338945,0.0005611672278338945,False,0.0,219.730688125,269.13828602351015,49.40759789851016,12.8125
PLAYERS AND ELECTRONICS,31,Babahoyo,Los Rios,B,10,16,32,0.40210312672033977,0.3455493189363128,0.056553807784026966,0.04228259270092398,2.372760533160717e-05,0.0005070856891261072,0.0005611672278338945,0.0005611672278338945,False,0.0,7.1875,6.574171132794732,-0.6133288672052676,0.0
BEVERAGES,2,Quito,Pichincha,D,13,16,32,0.2250079379549493,0.09187184144757694,0.13313609650737235,0.042188136891769604,2.3674599827031202e-05,0.00015878231632496522,0.0005611672278338945,0.0005611672278338945,False,0.0,2764.9375,3336.4312947289445,571.4937947289447,12.5
PREPARED FOODS,19,Guaranda,Bolivar,C,15,16,32,0.31429067818938433,0.23791814478066056,0.07637253340872377,0.0421735867808718,2.3666434781634005e-05,0.00030979146900654006,0.0005611672278338945,0.0005611672278338945,False,0.0,26.6875,25.059804310588873,-1.627695689411128,0.0
MAGAZINES,53,Manta,Manabi,D,13,16,32,0.6545813125732733,0.6216614134991967,0.032919899074076664,0.04201378173633019,2.357675742779472e-05,0.0013437969748595338,0.0005611672278338945,0.0005611672278338945,False,0.0625,4.375,2.635078105350183,-1.7399218946498172,0.0
LINGERIE,19,Guaranda,Bolivar,C,15,16,32,0.6832235659504322,0.6518056450888156,0.031417920861616655,0.04194384210037766,2.3537509596171527e-05,0.0014639698388441884,0.0005611672278338945,0.0005611672278338945,False,0.0,4.3125,3.5787565842650446,-0.7337434157349552,0.0
MEATS,2,Quito,Pichincha,D,13,16,32,0.3257983832096115,0.25338548825550306,0.07241289495410846,0.041940380843517214,2.3535567252254328e-05,0.0003328927243420208,0.0005611672278338945,0.0005611672278338945,False,0.0,521.52518625,513.7087060294566,-7.816480220543394,5.875
MEATS,4,Quito,Pichincha,D,9,16,32,0.2826271177948035,0.194950782059157,0.08767633573564648,0.041872280287520804,2.3497351452031877e-05,0.0002505152180654118,0.0005611672278338945,0.0005611672278338945,False,0.0,408.483565,366.5864558376743,-41.89710916232572,6.25
LAWN AND GARDEN,8,Quito,Pichincha,D,8,16,32,0.2979508922276571,0.21678428348994433,0.08116660873771275,0.04177930861100838,2.344517879405633e-05,0.0002784170543932128,0.0005611672278338945,0.0005611672278338945,False,0.0,33.8125,37.08201357309796,3.269513573097962,1.0
PRODUCE,15,Ibarra,Imbabura,C,15,16,32,0.2581522534650191,0.1584872609271265,0.09966499253789257,0.04152437409288436,2.3302117897241504e-05,0.00020900577911265247,0.0005611672278338945,0.0005611672278338945,False,0.0,625.12475,744.1659044302166,119.04115443021664,23.125
PREPARED FOODS,23,Ambato,Tungurahua,D,9,16,32,0.3304334416272636,0.2603118694299681,0.07012157219729553,0.041423989979513506,2.324578562262262e-05,0.00034243207809378154,0.0005611672278338945,0.0005611672278338945,False,0.0,31.7248125625,33.70876927470755,1.9839567122075479,0.0
PET SUPPLIES,43,Esmeraldas,Esmeraldas,E,10,16,32,0.5003800625947876,0.4573372034935322,0.04304285910125544,0.04122288934307916,2.3132934535959125e-05,0.0007852472932482865,0.0005611672278338945,0.0005611672278338945,False,0.0625,3.875,3.134616468340445,-0.7403835316595548,0.0
