family,store_nbr,city,state,store_type,cluster,promotion_bin,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
CELEBRATION,30,Guayaquil,Guayas,C,3,0,16,31,0.8137184417890548,0.6076720867841285,0.2060463550049263,0.29287233745103,0.00016435035771662738,0.002076609188855592,0.0005611672278338945,0.0005436307519640853,False,0.0625,5.4375,2.64898419142494,-2.78851580857506,0.0
HOME AND KITCHEN II,7,Quito,Pichincha,D,8,2-5,12,11,0.6679977824370968,0.2383791617336362,0.42961862070346063,0.38939641259204794,0.0001638873790370572,0.001049585346326164,0.00042087542087542086,0.00019290123456790122,False,0.0,41.5,26.459881575726744,-15.040118424273254,2.75
PET SUPPLIES,36,Libertad,Guayas,E,10,0,16,32,0.8398870972891042,0.6442304388542346,0.19565665843486957,0.2903774778463974,0.00016295032426846094,0.0022123216673871227,0.0005611672278338945,0.0005611672278338945,False,0.1875,3.75,1.4633975656550489,-2.2866024343449514,0.0
LINGERIE,18,Quito,Pichincha,B,16,0,4,32,1.2255068748668163,0.5888947603777472,0.6366121144890691,1.155070061545466,0.00016204686609784877,0.0011775462298879674,0.00014029180695847364,0.0005611672278338945,False,0.5,3.75,3.2569094397532714,-0.4930905602467285,0.0
EGGS,12,Latacunga,Cotopaxi,C,15,1,13,9,0.6838624084250348,0.3481660219210645,0.33569638650397027,0.34644821483654986,0.0001579624997501104,0.0011917009522248191,0.00045594837261503927,0.00015782828282828284,False,0.0,68.23076923076923,61.73422537920047,-6.496543851568766,1.0
LAWN AND GARDEN,41,Machala,El Oro,D,4,0,14,28,0.6868467888871718,0.3924829100954345,0.29436387879173725,0.3177156766876381,0.0001560051723354003,0.0012945959714941026,0.0004910213243546577,0.0004910213243546577,False,0.0,15.357142857142858,21.71202939665695,6.354886539514089,0.0
MAGAZINES,27,Daule,Guayas,D,1,0,16,32,0.6932043290301738,0.4635902275147944,0.22961410151537942,0.2656163427389546,0.00014905518672219675,0.0015070545976394994,0.0005611672278338945,0.0005611672278338945,False,0.125,3.75,3.4677510970688674,-0.2822489029311325,0.0
AUTOMOTIVE,24,Guayaquil,Guayas,D,1,0,16,32,0.6997115684527017,0.4790312983207538,0.22068027013194785,0.26012529425567277,0.00014597379026693198,0.0015354814081808576,0.0005611672278338945,0.0005611672278338945,False,0.1875,2.375,3.3158462119778567,0.9408462119778567,0.0
LAWN AND GARDEN,23,Ambato,Tungurahua,D,9,0,16,29,0.7795536215805283,0.5898406217288606,0.18971299985166767,0.2597918898778287,0.00014578669465646952,0.0019058926745743894,0.0005611672278338945,0.0005085578002244669,False,0.3125,2.0,2.7946029489463284,0.7946029489463283,0.0
AUTOMOTIVE,30,Guayaquil,Guayas,C,3,0,16,32,0.7451553485544974,0.5504804717101159,0.19467487684438145,0.2522277437451827,0.0001415419437402821,0.0017414062545664456,0.0005611672278338945,0.0005611672278338945,False,0.1875,3.125,2.736720395428766,-0.3882796045712339,0.0
LADIESWEAR,7,Quito,Pichincha,D,8,0,16,32,0.5959602286284763,0.3224006550972761,0.2735595735312002,0.2512264116997529,0.00014098002901220702,0.0011138866784388382,0.0005611672278338945,0.0005611672278338945,False,0.0,13.75,16.41185589680591,2.661855896805909,0.0
BEAUTY,17,Quito,Pichincha,C,12,1,9,1,0.6922242439959536,0.1832009714456635,0.5090232725502901,0.4456118080371347,0.00014066029294101473,0.0008453228176073266,0.0003156565656565657,1.7536475869809205e-05,False,0.0,2.888888888888889,4.2843540035687315,1.3954651146798422,1.0
BEAUTY,53,Manta,Manabi,D,13,0,6,12,0.9322058945388223,0.4526818834285046,0.4795240111103177,0.6640869422285477,0.00013974893565415564,0.0010220247452358174,0.00021043771043771043,0.00021043771043771043,False,0.3333333333333333,0.8333333333333334,2.842660804401634,2.009327471068301,0.0
BABY CARE,4,Quito,Pichincha,D,9,0,16,32,0.5296206562127775,0.20626375816789777,0.32335689804487977,0.23795330155370809,0.0001335315945868171,0.0008797034273222286,0.0005611672278338945,0.0005611672278338945,False,0.625,0.6875,0.261512329053466,-0.425987670946534,0.0
HARDWARE,34,Guayaquil,Guayas,B,6,0,16,32,0.7999337729644781,0.634836432675406,0.16509734028907208,0.23687674487714983,0.00013292746626102683,0.0020068481837998598,0.0005611672278338945,0.0005611672278338945,False,0.0625,3.75,3.996480020533083,0.24648002053308293,0.0
LADIESWEAR,53,Manta,Manabi,D,13,0,16,31,0.8341281876817055,0.6782066208062666,0.1559215668754389,0.23580561297971148,0.0001323263821434969,0.002182086934593823,0.0005611672278338945,0.0005436307519640853,False,0.0,6.9375,3.2503549457716834,-3.6871450542283166,0.0
HARDWARE,25,Salinas,Santa Elena,D,1,0,16,32,0.67413433139945,0.4694303949906707,0.20470393640877932,0.23409220103028636,0.00013136487150970053,0.0014252772188051732,0.0005611672278338945,0.0005611672278338945,False,0.25,1.625,0.5068508888990292,-1.1181491111009707,0.0
LADIESWEAR,10,Quito,Pichincha,C,15,0,16,32,0.8622596587380894,0.7143645020839573,0.1478951566541321,0.23317507724946618,0.00013085021170003715,0.002331753243845269,0.0005611672278338945,0.0005611672278338945,False,0.1875,3.875,2.3782345299201166,-1.4967654700798834,0.0
SEAFOOD,31,Babahoyo,Los Rios,B,10,0,14,9,0.6442548140016897,0.3869700290458848,0.2572847849558049,0.265318461984579,0.00013027702257940887,0.0011390160704296895,0.0004910213243546577,0.00015782828282828284,False,0.0,6.142857142857143,3.180951530848284,-2.9619056120088585,0.0
PLAYERS AND ELECTRONICS,54,El Carmen,Manabi,C,3,0,16,31,0.6743631674822965,0.47395013109639234,0.2004130363859042,0.23013695489046834,0.00012914531699801814,0.0014262450087468717,0.0005611672278338945,0.0005436307519640853,False,0.1875,2.375,1.690940130099261,-0.684059869900739,0.0
LINGERIE,20,Quito,Pichincha,B,6,0,14,32,0.7502112751706278,0.549076588316686,0.20113468685394176,0.2613318575556479,0.00012831951479303698,0.0015444778379521402,0.0004910213243546577,0.0005611672278338945,False,0.14285714285714285,3.4285714285714284,4.115652718481747,0.6870812899103186,0.0
SEAFOOD,11,Cayambe,Pichincha,B,6,0,13,10,0.6176071922930877,0.3221054567658697,0.295501735527218,0.27768671869380146,0.00012661080748524898,0.0009719736988569519,0.00045594837261503927,0.00017536475869809202,False,0.0,10.846153846153847,6.84673395996039,-3.999419886193456,0.0
MAGAZINES,20,Quito,Pichincha,B,6,0,16,32,0.7182718918432748,0.5400328728625174,0.17823901898075734,0.2242790068399731,0.00012585802852972677,0.0016180211598640223,0.0005611672278338945,0.0005611672278338945,False,0.5,1.5625,1.1193370700033463,-0.44316292999665374,0.0
CELEBRATION,16,Santo Domingo,Santo Domingo de los Tsachilas,C,3,0,16,31,0.7633717653651515,0.6027381348316032,0.1606336305335483,0.21944319297642795,0.0001231443282696004,0.0018275894374340106,0.0005611672278338945,0.0005436307519640853,False,0.0625,5.4375,4.442962767387312,-0.9945372326126879,0.0
PET SUPPLIES,11,Cayambe,Pichincha,B,6,0,16,31,0.65011839033443,0.45337694838331566,0.19674144195111432,0.21710326412566253,0.00012183123688308783,0.0013255354795039403,0.0005611672278338945,0.0005436307519640853,False,0.125,2.9375,2.3141498245424055,-0.6233501754575944,0.0
BEAUTY,31,Babahoyo,Los Rios,B,10,0,15,10,0.813779727588192,0.6577424083124223,0.1560373192757697,0.22961236934088675,0.00012079775323068537,0.0019471143781054753,0.0005260942760942761,0.00017536475869809202,False,0.3333333333333333,1.8,3.0017782930998873,1.2017782930998873,0.0
AUTOMOTIVE,40,Machala,El Oro,C,3,0,16,32,0.670453196946548,0.48453397211703814,0.1859192248295099,0.21473431916033203,0.00012050186260400227,0.001409754163214165,0.0005611672278338945,0.0005611672278338945,False,0.125,3.1875,3.664059112584449,0.47655911258444883,0.0
SEAFOOD,16,Santo Domingo,Santo Domingo de los Tsachilas,C,3,0,16,18,0.6274430628437788,0.4260465258299438,0.20139653701383503,0.21216915493901725,0.00011906237650898835,0.0012346819462128527,0.0005611672278338945,0.0003156565656565657,False,0.5,1.1875,0.52388603989808,-0.66361396010192,0.0
BABY CARE,8,Quito,Pichincha,D,8,0,16,32,0.5781826663882188,0.35121799901488604,0.22696466737333276,0.2109411128797698,0.00011837323955093704,0.001048423118901625,0.0005611672278338945,0.0005611672278338945,False,0.4375,0.9375,0.30280113854787694,-0.6346988614521231,0.0
LINGERIE,2,Quito,Pichincha,D,13,0,7,32,0.8587061413245515,0.5121512691593458,0.34655487216520564,0.4750773146469718,0.00011663654610440525,0.001011751015626278,0.00024551066217732886,0.0005611672278338945,False,0.14285714285714285,4.428571428571429,5.5775765776425885,1.14900514907116,0.0
MAGAZINES,25,Salinas,Santa Elena,D,1,0,16,32,0.7948208282189284,0.6515134205990871,0.1433074076198413,0.2072704117499003,0.00011631336237368142,0.001981275788031908,0.0005611672278338945,0.0005611672278338945,False,0.0,11.875,5.870615093092196,-6.004384906907804,0.0
LADIESWEAR,24,Guayaquil,Guayas,D,1,0,16,32,0.6792071822056773,0.5065926975119736,0.17261448469370377,0.20468623518731827,0.00011486320717582394,0.0014468083053986588,0.0005611672278338945,0.0005611672278338945,False,0.0,13.75,10.60215210847141,-3.147847891528591,0.0
LINGERIE,45,Quito,Pichincha,A,11,0,13,32,0.8314392294762079,0.6630222953392502,0.16841693413695769,0.2516926281950623,0.00011475884422474079,0.0017615332578305163,0.00045594837261503927,0.0005611672278338945,False,0.15384615384615385,4.153846153846154,3.4459059688274163,-0.7079401850187375,0.0
AUTOMOTIVE,2,Quito,Pichincha,D,13,0,16,32,0.6985111495778336,0.5339007422300709,0.16461040734776267,0.20286782353072602,0.00011384277414743324,0.0015302174112974227,0.0005611672278338945,0.0005611672278338945,False,0.0625,7.375,5.933849743105393,-1.4411502568946075,0.0
SCHOOL AND OFFICE SUPPLIES,43,Esmeraldas,Esmeraldas,E,10,0,16,32,0.728407501052928,0.5744480954210759,0.15395940563185206,0.20058687325726965,0.00011256277960565076,0.0016640074745132105,0.0005611672278338945,0.0005611672278338945,False,0.25,2.3125,2.392454653802425,0.07995465380242485,0.0
LADIESWEAR,50,Ambato,Tungurahua,A,14,0,4,32,1.0342403518751158,0.5228208796583222,0.5114194722167935,0.7963114332400614,0.00011171596987094015,0.0008386667377671141,0.00014029180695847364,0.0005611672278338945,False,0.0,10.25,18.50928462986507,8.259284629865071,0.0
"LIQUOR,WINE,BEER",29,Guayaquil,Guayas,E,10,2-5,13,18,0.6911639039849633,0.4825062668141282,0.20865763717083508,0.2448952446568288,0.00011165958826244299,0.0012172840221464953,0.00045594837261503927,0.0003156565656565657,False,0.0,109.38461538461539,103.12909741189054,-6.2555179727248404,3.6153846153846154
HOME AND KITCHEN II,19,Guaranda,Bolivar,C,15,0,13,31,0.7156275410030581,0.5199721062315976,0.19565543477146052,0.24175178618315984,0.00011022633348699067,0.0013049801799725881,0.00045594837261503927,0.0005436307519640853,False,0.0,24.0,12.532323804567053,-11.467676195432947,0.0
LINGERIE,4,Quito,Pichincha,D,9,0,16,32,0.72305723499274,0.5717413000107364,0.15131593498200357,0.1959236509373795,0.00010994593206362487,0.0016396524639597937,0.0005611672278338945,0.0005611672278338945,False,0.0625,2.6875,0.8629617117288492,-1.824538288271151,0.0
